City,Lat,Long,Max Temp (C),Humidity,Cloudiness,Windspeed,Country Code,Date
Dengzhou,37.81,120.75,18.93,74,100,3.52,CN,1601310100
Sitka,57.05,-135.33,12.0,76,90,3.6,US,1601310101
Zapolyarnyy,69.42,30.81,9.0,87,75,8.2,RU,1601310101
Georgetown,-7.93,-14.42,23.63,77,100,7.14,SH,1601310101
Rikitea,-23.12,-134.97,23.53,81,3,3.81,PF,1601310102
Yellowknife,62.46,-114.35,8.0,93,75,5.1,CA,1601310102
Charyshskoye,51.4,83.56,3.08,83,74,1.12,RU,1601310102
Cabanbanan,14.24,121.43,27.22,83,40,0.98,PH,1601310103
Atuona,-9.8,-139.03,25.28,74,4,7.52,PF,1601310103
Petropavlovsk-Kamchatskiy,53.05,158.65,6.0,100,75,3.0,RU,1601310103
Qaanaaq,77.48,-69.36,-10.15,80,0,4.77,GL,1601310104
Dikson,73.51,80.55,3.3,77,100,11.12,RU,1601310104
Saskylakh,71.92,114.08,-0.2,98,100,9.37,RU,1601310104
Punta Arenas,-53.15,-70.92,4.0,55,75,7.2,CL,1601309966
Iqaluit,63.75,-68.51,-3.0,86,90,3.1,CA,1601310105
Elko,41.0,-115.5,8.33,44,1,1.5,US,1601310105
Jalu,29.03,21.55,37.61,11,0,4.23,LY,1601310105
Arteaga,18.47,-102.42,24.44,74,73,0.81,MX,1601310106
Kapaa,22.08,-159.32,27.0,74,90,4.1,US,1601310106
Mackay,-21.15,149.2,22.0,64,40,5.7,AU,1601310092
Saint Paul Harbor,57.79,-152.41,7.0,93,90,2.1,US,1601310106
Verkhoyansk,67.54,133.38,2.51,79,25,3.12,RU,1601310107
Pangkalanbuun,-2.68,111.62,23.37,91,99,1.02,ID,1601310107
Takoradze,4.88,-1.76,26.01,83,20,4.77,GH,1601310108
Inhambane,-23.86,35.38,26.0,83,40,4.1,MZ,1601310108
Bengkulu,-3.8,102.27,25.29,88,75,4.06,ID,1601310109
Katherine,-14.47,132.27,29.0,25,40,2.6,AU,1601310109
Collie,-33.37,116.15,11.11,77,7,1.41,AU,1601310109
Lorengau,-2.02,147.27,26.55,81,99,3.42,PG,1601310111
Puerto Ayora,-0.74,-90.35,20.56,86,99,3.13,EC,1601310111
Tanete,-3.94,119.78,23.99,78,81,2.18,ID,1601310111
Lodja,-3.48,23.43,23.87,93,93,1.13,CD,1601309907
Kangaba,11.93,-8.42,32.41,48,34,1.65,ML,1601310112
Bluff,-46.6,168.33,2.78,79,97,7.15,NZ,1601310112
Port Lincoln,-34.73,135.87,15.41,51,100,6.89,AU,1601310112
Tucano,-10.96,-38.79,36.12,25,10,3.32,BR,1601310113
Votkinsk,57.05,53.99,10.56,76,3,1.44,RU,1601310113
San Patricio,19.22,-104.7,33.0,75,20,5.1,MX,1601310113
Cabo San Lucas,22.89,-109.91,31.11,70,5,2.1,MX,1601310113
Cape Town,-33.93,18.42,15.0,87,75,1.5,ZA,1601310023
Esim,4.87,-2.24,26.51,78,26,4.24,GH,1601310114
Bredasdorp,-34.53,20.04,14.0,67,0,8.2,ZA,1601310114
Sayyan,15.17,44.32,20.52,23,66,3.12,YE,1601310115
Road Town,18.42,-64.62,30.0,74,40,4.1,VG,1601310115
Carbonear,47.73,-53.21,19.44,82,75,9.8,CA,1601310115
Aksarka,66.56,67.8,3.25,88,51,3.2,RU,1601310116
La Palma,8.4,-78.15,31.66,60,14,0.49,PA,1601310116
Abu Kamal,34.45,40.92,32.42,19,0,5.56,SY,1601310116
Yerbogachën,61.28,108.01,7.3,81,100,6.87,RU,1601310117
Salalah,17.02,54.09,26.0,83,20,3.6,OM,1601310117
Barrow,71.29,-156.79,-1.0,86,75,4.1,US,1601310117
Hilo,19.73,-155.09,22.0,73,75,2.1,US,1601310118
Albany,-35.02,117.89,10.0,87,40,3.1,AU,1601309885
Tromsø,69.65,18.96,11.0,71,75,5.1,NO,1601310118
Bandarbeyla,9.49,50.81,25.45,81,0,10.52,SO,1601310118
Wajima,37.4,136.9,18.91,71,24,5.72,JP,1601310119
Margate,-30.86,30.37,15.76,75,55,4.64,ZA,1601310119
Jamestown,-15.94,-5.72,16.51,87,84,9.34,SH,1601309828
Birao,10.28,22.79,27.02,81,46,1.43,CF,1601310120
Esperance,-33.87,121.9,11.0,100,8,1.5,AU,1601310120
Arraial do Cabo,-22.97,-42.03,29.0,69,18,6.2,BR,1601310120
Carnarvon,-24.87,113.63,19.0,77,0,9.3,AU,1601310121
Tuatapere,-46.13,167.68,2.78,79,99,7.15,NZ,1601310121
Busselton,-33.65,115.33,11.11,77,62,4.69,AU,1601310122
Atar,20.52,-13.05,37.1,17,0,3.28,MR,1601310123
Palmas,-10.21,-48.36,36.0,41,20,4.1,BR,1601310022
Uruçuí,-7.23,-44.56,39.17,19,0,3.47,BR,1601310123
Alta Floresta,-9.88,-56.09,34.0,49,20,1.5,BR,1601310124
Bethel,41.37,-73.41,23.33,73,75,2.6,US,1601310125
Portales,34.19,-103.33,14.44,35,90,6.7,US,1601310125
Tamiahua,21.27,-97.45,29.44,78,47,1.7,MX,1601310125
Hobart,-42.88,147.33,9.0,76,90,1.43,AU,1601309839
Chokurdakh,70.63,147.92,4.35,73,34,3.47,RU,1601310126
Cuamba,-14.8,36.54,28.21,33,3,2.86,MZ,1601310126
Upernavik,72.79,-56.15,-2.55,95,98,5.21,GL,1601310127
New Norfolk,-42.78,147.06,8.89,66,23,0.81,AU,1601310127
Gizo Government Station,-8.1,156.84,27.47,74,98,3.45,SB,1601310127
Gornopravdinsk,60.05,69.9,3.99,84,68,2.59,RU,1601310128
Beloha,-25.17,45.05,23.79,64,1,3.04,MG,1601310128
Provideniya,64.38,-173.3,-0.86,91,0,2.18,RU,1601310128
Matara,5.95,80.54,26.41,85,51,4.2,LK,1601310129
Butaritari,3.07,172.79,27.45,73,86,5.73,KI,1601310129
Saint-Georges,3.9,-51.8,32.0,55,75,3.1,GF,1601310129
Ushuaia,-54.8,-68.3,2.0,64,75,7.2,AR,1601310061
Kaitangata,-46.28,169.85,2.78,57,67,6.71,NZ,1601310130
Tuktoyaktuk,69.45,-133.04,2.0,93,90,4.1,CA,1601310130
Bambous Virieux,-20.34,57.76,23.33,83,75,3.6,MU,1601310130
Hermanus,-34.42,19.23,13.89,74,2,2.24,ZA,1601310131
Saint George,32.38,-64.68,27.0,74,75,5.1,BM,1601310131
Nome,64.5,-165.41,1.0,80,1,3.1,US,1601310132
Wamba,2.15,27.99,22.09,93,93,0.94,CD,1601309908
Lae,-6.72,146.98,23.35,91,100,0.69,PG,1601310132
High Level,58.52,-117.14,13.0,62,20,5.1,CA,1601310133
Vardø,70.37,31.11,10.0,87,75,9.3,NO,1601310133
Tungor,53.38,142.96,9.27,78,74,6.8,RU,1601310133
Muli,2.92,73.57,28.38,72,88,3.22,MV,1601310133
Avarua,-21.21,-159.78,21.0,88,88,4.1,CK,1601310134
Port Elizabeth,-33.92,25.57,15.0,62,0,6.2,ZA,1601310134
Naze,28.37,129.48,23.0,83,24,2.6,JP,1601310134
Tura,64.28,100.25,-0.71,94,86,3.66,RU,1601310135
Kavieng,-2.57,150.8,27.38,74,88,3.47,PG,1601310135
Narsaq,60.92,-46.05,5.0,30,20,2.1,GL,1601310135
Vaini,-21.2,-175.2,21.0,100,20,2.1,TO,1601310135
Buala,-8.14,159.59,26.6,79,100,3.91,SB,1601310136
Kyzyl-Suu,42.34,78.0,7.96,58,95,2.32,KG,1601310136
Ulladulla,-35.35,150.47,12.0,81,90,2.1,AU,1601310136
Mahébourg,-20.41,57.7,23.0,83,75,3.6,MU,1601310137
Bathsheba,13.22,-59.52,32.0,66,20,8.2,BB,1601310137
Farafangana,-22.82,47.83,22.39,81,0,5.4,MG,1601310138
Pevek,69.7,170.31,1.78,84,0,5.27,RU,1601310138
Kutum,14.2,24.67,28.33,39,74,1.25,SD,1601310138
Ullapool,57.9,-5.16,11.11,80,46,2.68,GB,1601310139
Camaragibe,-8.02,-34.98,28.0,69,40,6.2,BR,1601310085
Kabinda,-6.13,24.48,25.13,74,87,1.06,CD,1601310139
Altay,47.87,88.12,4.52,66,0,0.85,CN,1601310139
Nanortalik,60.14,-45.24,2.63,75,0,6.86,GL,1601310140
Faanui,-16.48,-151.75,25.26,81,1,8.17,PF,1601310140
Constitucion,23.99,-104.67,21.67,48,20,0.51,MX,1601310140
São João da Barra,-21.64,-41.05,31.0,58,65,4.1,BR,1601310140
Campoverde,-8.48,-74.81,36.13,36,25,1.69,PE,1601310141
Pisco,-13.7,-76.22,18.33,88,90,2.6,PE,1601310132
Santo Antônio do Leverger,-15.87,-56.08,38.0,25,41,1.5,BR,1601310141
Cayenne,4.93,-52.33,32.0,62,75,4.6,GF,1601310043
Ostrovnoy,68.05,39.51,10.38,89,100,5.76,RU,1601310064
Souillac,-20.52,57.52,23.0,83,75,3.6,MU,1601310142
Ukiah,39.15,-123.21,20.56,48,20,1.17,US,1601310142
Evensk,61.95,159.23,6.55,90,98,2.13,RU,1601310143
Hithadhoo,-0.6,73.08,28.86,68,92,3.58,MV,1601310143
Ribeira Grande,38.52,-28.7,23.0,78,75,4.6,PT,1601310143
Hofn,64.25,-15.21,9.0,76,90,1.0,IS,1601310144
Port Said,31.26,32.28,29.0,74,0,5.1,EG,1601310144
Santa Comba,43.03,-8.81,20.56,74,100,0.45,ES,1601310144
Chu,43.6,73.76,10.34,44,0,5.12,KZ,1601310145
Kimbe,-5.55,150.14,23.6,92,100,2.19,PG,1601310145
Guerrero Negro,27.98,-114.06,25.21,56,0,3.74,MX,1601310145
Ketchikan,55.34,-131.65,11.0,100,90,3.1,US,1601310145
Vila Velha,-20.33,-40.29,31.0,58,0,6.7,BR,1601309995
Lebu,-37.62,-73.65,11.45,74,99,5.02,CL,1601310146
Odienné,9.51,-7.57,29.04,68,47,1.41,CI,1601310146
Dingle,52.14,-10.27,15.0,77,20,3.1,IE,1601310130
Walvis Bay,-22.96,14.51,21.0,43,0,5.7,NA,1601310147
Ţahţā,26.77,31.5,40.0,12,0,1.5,EG,1601310147
Kruisfontein,-34.0,24.73,15.0,58,0,2.24,ZA,1601310147
Geraldton,-28.77,114.6,11.0,87,2,1.5,AU,1601310147
Brazzaville,-4.27,15.28,24.0,83,40,3.1,CG,1601310148
Biak,-0.91,122.88,23.87,81,92,2.53,ID,1601310148
Khatanga,71.97,102.5,-0.38,95,100,6.46,RU,1601310148
Hasaki,35.73,140.83,17.78,93,40,1.5,JP,1601310149
Christchurch,-43.53,172.63,4.0,55,81,4.1,NZ,1601310030
Berdigestyakh,62.1,126.7,2.83,91,94,1.94,RU,1601310149
Nuuk,64.18,-51.72,3.0,64,40,3.65,GL,1601310150
Lázaro Cárdenas,17.96,-102.2,28.82,69,94,0.97,MX,1601310150
Câmara de Lobos,32.63,-16.97,24.0,60,40,6.2,PT,1601310150
Pangnirtung,66.15,-65.71,1.0,80,75,4.6,CA,1601310151
Geraldton,49.73,-86.95,11.0,87,90,2.1,CA,1601310151
Husavik,66.04,-17.34,8.0,49,20,3.1,IS,1601310151
Port Alfred,-33.59,26.89,15.5,53,0,2.56,ZA,1601310152
Metro,-5.11,105.31,24.8,86,16,2.61,ID,1601310152
San-Pédro,4.75,-6.64,26.18,87,93,4.0,CI,1601310153
Caravelas,-17.71,-39.25,28.38,58,0,5.55,BR,1601310153
Tasiilaq,65.61,-37.64,1.0,86,100,7.7,GL,1601310153
Leningradskiy,69.38,178.42,0.14,90,94,2.13,RU,1601310154
Buckeye,33.37,-112.58,30.56,23,1,1.5,US,1601309932
Manakara,-22.13,48.02,22.06,83,0,4.71,MG,1601310155
Murgab,37.5,61.97,17.0,45,90,3.1,TM,1601310155
Los Llanos de Aridane,28.66,-17.92,26.0,61,20,9.3,ES,1601310155
Yerofey Pavlovich,53.97,121.97,2.58,82,76,1.75,RU,1601310156
Leeton,-34.57,146.4,5.56,100,0,3.1,AU,1601310156
Kifrī,34.7,44.97,33.55,19,0,13.44,IQ,1601310157
Port Blair,11.67,92.75,26.42,83,100,7.42,IN,1601310092
Strezhevoy,60.73,77.59,5.0,75,75,3.0,RU,1601310157
East London,-33.02,27.91,17.0,59,7,5.7,ZA,1601310133
Cherskiy,68.75,161.3,5.32,67,95,6.91,RU,1601310158
Kulevcha,46.03,29.94,19.39,57,98,3.38,UA,1601310158
São Filipe,14.9,-24.5,27.46,79,49,3.66,CV,1601310158
Saint-Augustin,51.23,-58.65,22.23,65,78,7.55,CA,1601310158
Vostok,46.49,135.88,9.02,100,100,1.33,RU,1601310159
Merowe,18.48,31.82,39.21,9,0,3.81,SD,1601310159
College,64.86,-147.8,3.0,74,40,3.1,US,1601310107
Changji,44.02,87.32,13.0,35,100,2.0,CN,1601310137
Guozhen,34.37,107.36,17.92,75,99,0.38,CN,1601310160
Indianola,41.36,-93.56,15.0,70,66,7.41,US,1601310139
Fort Nelson,58.81,-122.7,4.0,93,40,2.1,CA,1601310161
Mulchén,-37.72,-72.23,10.0,93,20,2.6,CL,1601310161
Caraballeda,10.61,-66.85,26.67,53,63,2.62,VE,1601310162
Boende,-0.22,20.87,21.86,96,100,1.69,CD,1601310162
Bria,6.54,21.99,23.22,93,100,2.58,CF,1601310162
Manoel Urbano,-8.84,-69.26,36.56,35,5,1.26,BR,1601310163
Verkhnyaya Inta,65.98,60.31,3.41,77,99,2.92,RU,1601310163
Alice Springs,-23.7,133.88,27.0,11,30,8.7,AU,1601310163
Thompson,55.74,-97.86,4.0,93,90,1.0,CA,1601310163
Aykhal,66.0,111.5,1.0,93,75,3.0,RU,1601310164
Yayva,59.33,57.26,5.56,82,56,0.37,RU,1601310164
Saint-Pierre,46.77,-56.17,15.0,100,90,5.1,PM,1601310165
Gamba,-2.65,10.0,25.58,69,87,3.66,GA,1601310165
Kemijärvi,66.71,27.43,10.59,94,38,2.13,FI,1601310165
Aracaju,-10.91,-37.07,29.0,66,40,6.2,BR,1601310104
Norman Wells,65.28,-126.83,6.0,93,75,5.1,CA,1601310166
Mirzāpur,24.1,90.1,30.0,66,75,1.34,BD,1601310166
Kāmyārān,34.8,46.94,27.0,15,0,2.1,IR,1601310166
Sarkand,45.41,79.92,4.21,66,40,0.65,KZ,1601310167
Valley City,46.92,-98.0,11.0,66,90,9.8,US,1601310167
Mandalgovi,45.76,106.27,4.93,61,74,2.23,MN,1601310167
Kamenka,51.32,42.77,13.01,39,75,4.01,RU,1601310168
Oktyabr'skiy,54.48,53.47,10.99,69,0,1.06,RU,1601310168
Kachīry,53.07,76.1,10.73,76,95,3.5,KZ,1601310168
San Andrés,12.58,-81.7,31.0,74,75,4.6,CO,1601310165
Saldanha,-33.01,17.94,16.0,59,0,4.6,ZA,1601310169
Mar del Plata,-38.0,-57.56,12.0,71,75,6.2,AR,1601309872
Jinchang,38.5,102.17,14.33,60,89,2.31,CN,1601310170
Duminichi,53.93,35.11,12.01,84,19,1.81,RU,1601310048
Youkounkoun,12.53,-13.13,30.72,68,46,1.33,GN,1601310170
Baruun-Urt,46.68,113.28,3.04,74,0,3.22,MN,1601310171
Victoria,-4.62,55.45,27.0,78,20,4.06,SC,1601310026
Tiksi,71.69,128.87,1.32,86,100,7.55,RU,1601310172
Severo-Yeniseyskiy,60.37,93.04,-0.15,98,100,3.32,RU,1601310172
Torbay,47.67,-52.73,20.0,82,75,9.8,CA,1601310172
Paamiut,61.99,-49.67,2.33,75,0,7.62,GL,1601310173
Longyearbyen,78.22,15.64,3.0,93,75,3.1,SJ,1601310173
Chui,-33.7,-53.46,17.63,60,30,6.69,UY,1601310173
Biu,10.61,12.19,25.81,76,82,1.18,NG,1601310173
Phan Thiet,10.93,108.1,25.59,87,100,3.43,VN,1601310148
Kijang,0.9,104.63,28.0,83,20,2.6,ID,1601310174
Ponta do Sol,17.2,-25.09,31.0,62,75,9.3,CV,1601310174
San Cristobal,-0.9,-89.62,21.0,88,75,6.2,EC,1601310174
Dehlorān,32.69,47.27,33.59,12,0,3.65,IR,1601310175
Papillion,41.15,-96.04,16.67,48,90,7.7,US,1601310176
Hualmay,-11.1,-77.61,20.13,63,64,3.85,PE,1601310176
Vanavara,60.34,102.28,7.12,80,100,5.6,RU,1601310176
Gaoua,10.3,-3.25,30.97,55,55,0.13,BF,1601310177
Sinnamary,5.38,-52.95,30.53,61,31,6.33,GF,1601310177
Adrar,25.75,-1.0,42.2,7,0,3.82,DZ,1601310178
Kahului,20.89,-156.47,23.33,73,1,3.53,US,1601310178
Tupelo,34.26,-88.7,22.0,83,90,2.1,US,1601310069
Golspie,57.97,-3.98,18.0,68,20,8.7,GB,1601310178
Río Gallegos,-51.62,-69.22,7.0,48,75,9.3,AR,1601310087
Severo-Kuril'sk,50.68,156.12,10.53,92,100,9.49,RU,1601310179
Dhidhdhoo,6.88,73.1,28.38,75,91,3.11,MV,1601310179
Klaksvík,62.23,-6.59,10.0,93,97,6.7,FO,1601310179
Fairbanks,64.84,-147.72,3.0,92,1,1.76,US,1601310111
Guadalupe y Calvo,26.1,-106.97,21.51,35,0,3.43,MX,1601310180
Ambulu,-8.35,113.61,23.99,86,18,1.48,ID,1601310180
Guerrero,17.67,-100.0,24.75,64,89,1.18,MX,1601310180
Nishihara,26.18,127.76,25.0,78,40,2.1,JP,1601310181
Mehamn,71.04,27.85,7.0,87,99,2.1,NO,1601310181
Gachsaran,30.36,50.8,30.0,37,0,0.42,IR,1601310167
Touros,-5.2,-35.46,30.0,66,75,7.2,BR,1601310181
Vostok,46.49,135.88,9.02,100,100,1.33,RU,1601310159
Fes,34.04,-5.0,32.0,21,0,2.1,MA,1601309941
Plettenberg Bay,-34.05,23.37,14.6,56,0,3.27,ZA,1601310182
Valparaíso,-33.04,-71.63,16.0,63,99,3.1,CL,1601310122
Moundsville,39.92,-80.74,25.0,69,1,5.7,US,1601310183
Mahon,39.89,4.27,21.0,60,20,4.1,ES,1601310183
Nemuro,43.32,145.57,12.31,79,0,5.32,JP,1601310183
Palana,59.12,159.97,3.96,74,100,1.95,RU,1601310184
Port Perry,44.11,-78.94,23.33,73,1,3.6,CA,1601310004
Melville,50.92,-102.8,9.0,70,1,4.6,CA,1601310184
Yelovo,57.05,54.92,11.36,83,39,1.17,RU,1601310184
Tiarei,-17.53,-149.33,24.0,83,40,2.6,PF,1601310185
São Gabriel da Cachoeira,-0.13,-67.09,30.0,70,20,2.1,BR,1601310185
Pedersore,63.65,22.68,14.0,87,100,1.0,FI,1601310185
Dwārka,22.24,68.97,27.82,72,10,4.73,IN,1601310186
Nikolskoye,59.7,30.79,13.89,66,67,4.0,RU,1601310186
Kikwit,-5.04,18.82,27.76,61,68,2.26,CD,1601310186
